2021-04-19 21:20:21,455 192.168.1.6 /employees/getList GET Mozilla/5.0 (Linux; Android 10; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Mobile Safari/537.36  
2021-04-19 21:21:31,058, 192.168.1.6 /employees/getList GET Mozilla/5.0 (Linux; Android 10; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Mobile Safari/537.36  
2021-04-19 21:41:36,498 87bh$%^bhsg3455678csb$%y987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 21:41:47,134 87bh$%^bhsg3455678csb$%y987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:00:47,777 87bh$%^bhsg3455678csb$%y987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:03:53,792 87bh$%^bhsg3455678csb$%y987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:14:10,060 87bh$%^bhsg3455678csb$%y987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:14:15,522 87bh$%^bhsg3455678csb$%y987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:17:42,886 87bh$%^bhsg3455678csb$%y987656 0:0:0:0:0:0:0:1 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:18:01,790 87bh$%^bhsg3455678csb$%y987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:20:07,947 null 87bh$%^bhsg3455678csb$%y987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:23:18,668 null 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:25:27,338 null 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:25:36,448 null 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:29:27,429 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:39:29,134 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:39:33,926 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/4 DELETE Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:39:44,540 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:39:53,988 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/3 DELETE Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:39:55,332 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:40:31,056 null 87bhxyzbhsg3455678csbabcy987656 0:0:0:0:0:0:0:1 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:40:32,395 null 87bhxyzbhsg3455678csbabcy987656 0:0:0:0:0:0:0:1 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:41:32,971 null 87bhxyzbhsg3455678csbabcy987656 0:0:0:0:0:0:0:1 /employees/employeeList/1 GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:42:23,258 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/employeeList/2 GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:46:02,785 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:46:38,433 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/employeeList/2 GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:46:42,749 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/save POST Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:46:43,910 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:49:15,927 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/add POST Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:49:17,220 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
2021-04-19 22:50:01,012 87bhxyzbhsg3455678csbabcy987656 87bhxyzbhsg3455678csbabcy987656 192.168.1.4 /employees/getList GET Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36  
